7zip 26.01-1
linux-firmware-nvidia 20260519-1
linux-firmware-other 20260519-1
linux-firmware-radeon 20260519-1
linux-firmware-realtek 20260519-1
linux-firmware-whence 20260519-1
linux-headers 7.0.12.arch1-1
linux-lts 6.18.35-1
linux-lts-headers 6.18.35-1
llhttp 9.3.1-1
llvm 22.1.6-1
llvm-libs 22.1.6-1
lm_sensors 1:3.6.2-1
lmdb 0.9.35-1
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.6-1
lua 5.5.0-2
lua51 5.1.5-13
lua51-lpeg 1.1.0-5
lua54 5.4.8-6
luajit 2.1.1780076327+b925b3e-1
lutris 0.5.22-1
lv2 1.18.10-2
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.21-2
mailcap 2.1.54-2
make 4.4.1-3
man-db 2.13.1-1
mangohud 0.8.4-1
matugen 4.1.0-1
md4c 0.5.3-1
mdadm 4.6-2
media-player-info 26-1
mesa 1:26.1.2-2
mesa-utils 9.0.0-7
minecraft-launcher 1:2.1.3-3
minecraft-launcher-debug 1:2.1.3-3
minizip 1:1.3.2-3
mjpegtools 2.2.1-4
mkinitcpio 41-4
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.5-1
msgpack-c 7.0.1-1
mtdev 1.1.7-1
muparser 2.3.5-2
ncurses 6.6-2
neon 0.37.1-1
neovim 0.12.3-1
nettle 4.0-1
networkmanager 1.56.1-1
nftables 1:1.1.6-3
nmap 7.99-2
node-gyp 13.0.0-1
nodejs 26.2.0-1
nodejs-nopt 10.0.1-1
npm 11.16.0-1
npth 1.8-1
nspr 4.39-1
nss 3.125-1
numactl 2.0.19-1
nvidia-open-dkms 610.43.02-2
nvidia-settings 610.43.02-1
nvidia-utils 610.43.02-2
ocl-icd 2.3.4-1
onetbb 2023.0.0-1
oniguruma 6.9.10-1
openal 1.25.2-1
openbsd-netcat 1.238_1-1
opencore-amr 0.1.6-2
opencv 4.13.0-10
openexr 3.4.12-3
openh264 2.6.0-2
openjpeg2 2.5.4-1
openjph 0.29.0-1
openmpi 5.0.10-3
openpmix 5.0.10-2
openssh 10.3p1-1
openssl 3.6.3-1
openucx 1.20.1-1
optipng 7.9.1-1
opus 1.6.1-1
orc 0.4.42-1
ostree 2025.7-3
p11-kit 0.26.2-1
pacman 7.1.0.r9.g54d9411-2
pacman-mirrorlist 20260610-1
pahole 1:1.31-2
pam 1.7.2-2
pambase 20260616-1
pango 1:1.57.1-1
pangomm 2.46.4-3
pangomm-2.48 2.56.1-2
parted 3.7-1
patch 2.8-1
pavucontrol 1:6.2-1
pciutils 3.15.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.5.1-1
perl 5.42.2-1
perl-error 0.17030-3
perl-mailtools 2.22-3
perl-timedate 2.35-1
php 8.5.7-1
php-apache 8.5.7-1
pinentry 1.3.2-2
piper 0.8-3
pipewire 1:1.6.6-1
pipewire-alsa 1:1.6.6-1
pipewire-audio 1:1.6.6-1
pipewire-jack 1:1.6.6-1
pipewire-pulse 1:1.6.6-1
pixman 0.46.4-1
pkgconf 2.5.1-1
plasma-activities 6.6.5-1
polkit 127-3
polkit-qt6 0.201.1-1
poppler 26.06.0-1
poppler-glib 26.06.0-1
poppler-qt6 26.06.0-1
popt 1.19-2
portaudio 1:19.7.0-4
potrace 1.16-5
prismlauncher 11.0.2-1
procps-ng 4.0.6-2
protobuf 35.0-2
proton-ge-custom-bin 1:GE_Proton10_34-1
protontricks 1.14.1-1
prrte 3.0.13-1
psmisc 23.7-2
pugixml 1.15-3
python 3.14.5-1
python-appdirs 1.4.4-12
python-attrs 26.1.0-1
python-audioop-lts 0.2.2-2
python-autocommand 2.2.2-9
python-beautifulsoup4 4.15.0-1
python-cachecontrol 1:0.14.4-3
python-cairo 1.29.0-2
python-certifi 2026.06.17-1
python-cffi 2.0.0-2
python-chardet 6.0.0.post1-1
python-charset-normalizer 3.4.7-1
python-contourpy 1.3.3-4
python-cryptography 48.0.1-1
python-cssselect 1.4.0-1
python-cycler 0.12.1-4
python-dateutil 2.9.0-8
python-dbus 1.4.0-2
python-distro 1.9.0-4
python-evdev 1.9.3-1
python-filelock 3.29.3-1
python-fonttools 4.63.0-1
python-gobject 3.56.3-1
python-greenlet 3.5.1-1
python-idna 3.18-1
python-iniconfig 2.3.0-1
python-jaraco.collections 5.1.0-3
python-jaraco.context 6.1.2-1
python-jaraco.functools 4.1.0-3
python-jaraco.text 4.0.0-4
python-kiwisolver 1.5.0-1
python-lxml 6.1.1-1
python-mako 1.3.12-1
python-markdown 3.10.2-1
python-markupsafe 3.0.3-1
python-matplotlib 3.11.0-1
python-moddb 0.14.0-2
python-more-itertools 11.1.0-1
python-msgpack 1.1.2-2
python-numpy 2.4.6-1
python-opencv 4.13.0-10
python-packaging 26.2-1
python-pillow 12.2.0-1
python-pip 26.1.2-1
python-pkg_resources 81.0.0-1
python-platformdirs 4.10.0-1
python-pluggy 1.6.0-3
python-pycparser 3.00-1
python-pydub 0.25.1-8
python-pygments 2.20.0-1
python-pynvim 0.6.0-2
python-pyparsing 3.3.2-1
python-pyserial 3.5-8
python-pytest 1:9.0.3-1
python-redis 8.0.0-1
python-requests 2.34.2-1
python-setproctitle 1.3.7-2
python-setuptools 1:82.0.1-1
python-six 1.17.0-3
python-soupsieve 2.8.4-1
python-tinycss2 1.5.1-2
python-typing_extensions 4.15.0-3
python-urllib3 2.7.0-1
python-vdf 4.0-5
python-webencodings 0.5.1-13
python-wheel 0.47.0-1
python-yaml 6.0.3-2
python-zstandard 0.25.0-2
qca-qt6 2.3.10-7
qhull 2020.2-5
qpwgraph 1.0.2-1
qrencode 4.1.1-4
qt5-base 5.15.19+kde+r96-1
qt5-declarative 5.15.19+kde+r23-1
qt5-svg 5.15.19+kde+r5-1
qt5-translations 5.15.19-1
qt5-wayland 5.15.19+kde+r55-1
qt5-x11extras 5.15.19-1
qt6-5compat 6.11.1-1
qt6-base 6.11.1-1
qt6-declarative 6.11.1-3
qt6-imageformats 6.11.1-1
qt6-multimedia 6.11.1-1
qt6-multimedia-ffmpeg 6.11.1-1
qt6-networkauth 6.11.1-1
qt6-shadertools 6.11.1-1
qt6-speech 6.11.1-1
qt6-svg 6.11.1-1
